;issn;journal_name;citation_count_sum;paper_count_sum;avg_cites_per_paper;ranking;proj_ai
292;1896-9151;archives of medical science;1551.0;816.0;1.9007352941176472;C;0.41700000000000004
293;1733-3490;archives of metallurgy and materials;801.0;766.0;1.045691906005222;D;0.196
294;2300-1909;archives of metallurgy and materials;801.0;766.0;1.045691906005222;B;0.196
295;1432-072X;archives of microbiology;1039.0;473.0;2.19661733615222;;0.5
296;1434-3916;archives of orthopaedic and trauma surgery;2691.0;1138.0;2.3646748681898067;A;0.5479999999999999
297;1862-3514;archives of osteoporosis;549.0;150.0;3.66;D;0.95
298;1976-3786;archives of pharmacal research;2444.0;1082.0;2.2587800369685764;;0.518
299;2083-6139;archives of polish fisheries;74.0;131.0;0.5648854961832062;A;0.091
300;2169-3269;archives of scientific psychology;12.0;9.0;1.3333333333333333;C;0.267
301;1573-2800;archives of sexual behavior;3079.0;781.0;3.942381562099872;;1.043
302;1432-0738;archives of toxicology;3918.0;775.0;5.055483870967742;C;1.4269999999999998
303;1432-8798;archives of virology;3771.0;1585.0;2.3791798107255517;C;0.5529999999999999
304;2339-3874;archivos de medicina;4.0;8.0;0.5;B;0.078
305;1885-4494;archivos de zootecnia;153.0;260.0;0.5884615384615385;B;0.095
306;1661-4917;archivum immunologiae et therapiae experimentalis;706.0;225.0;3.1377777777777784;C;0.7829999999999999
307;1572-8374;argumentation;141.0;121.0;1.165289256198347;A;0.225
308;1848-6312;arhiv za higijenu rada i toksikologiju;333.0;247.0;1.3481781376518218;C;0.27
309;1551-7012;arkivoc;526.0;598.0;0.8795986622073578;B;0.158
310;0102-0935;arquivo brasileiro de medicina veterinaria e zootecnia;582.0;783.0;0.7432950191570882;B;0.128
311;0066-782X;arquivos brasileiros de cardiologia;1737.0;1224.0;1.4191176470588236;D;0.289
312;1678-4170;arquivos brasileiros de cardiologia;1737.0;1224.0;1.4191176470588236;;0.289
313;1678-2925;arquivos brasileiros de oftalmologia;312.0;382.0;0.8167539267015707;C;0.14400000000000002
314;1678-4219;arquivos de gastroenterologia;401.0;261.0;1.5363984674329505;D;0.319
315;2090-1992;arthritis;297.0;100.0;2.97;B;0.731
316;1478-6354;arthritis research & therapy;7546.0;1617.0;4.666666666666667;A;1.29
317;1478-6362;arthritis research & therapy;7546.0;1617.0;4.666666666666667;;1.29
318;1434-3924;arthroskopie;29.0;100.0;0.29;A;0.039
319;1572-8382;artificial intelligence and law;102.0;70.0;1.457142857142857;C;0.298
320;1573-7462;artificial intelligence review;1224.0;422.0;2.9004739336492893;B;0.7090000000000001
321;1614-7456;artificial life and robotics;156.0;260.0;0.6;B;0.098
322;1612-1031;asia europe journal;87.0;111.0;0.7837837837837838;D;0.13699999999999998
323;1876-407X;asia pacific education review;407.0;274.0;1.4854014598540146;A;0.306
324;1447-056X;asia pacific family medicine;80.0;52.0;1.5384615384615383;D;0.319
325;1572-9958;asia pacific journal of management;874.0;247.0;3.5384615384615383;D;0.9109999999999999
326;2077-2025;asian journal of algebra;0.0;4.0;0.0;D;0.0
327;1008-682X;asian journal of andrology;1803.0;787.0;2.2909783989834818;D;0.527
328;1745-7262;asian journal of andrology;1803.0;787.0;2.2909783989834818;A;0.527
329;2321-0893;asian journal of applied sciences;122.0;218.0;0.5596330275229358;D;0.08900000000000001
330;0970-7077;asian journal of chemistry;214.0;424.0;0.5047169811320755;B;0.079
331;0975-427X;asian journal of chemistry;214.0;424.0;0.5047169811320755;B;0.079
332;1992-1470;asian journal of clinical nutrition;44.0;38.0;1.1578947368421053;D;0.223
